predict label: 7.143646715440472; real label: 18.0; 1:169.0 2:50.0 3:0.0 4:91.0 
predict label: 7.143646715440433; real label: 9.0; 1:177.0 2:56.0 3:0.0 4:90.0 
predict label: 7.143646715440431; real label: 24.0; 1:180.0 2:54.0 3:0.0 4:66.0 
predict label: 7.143646715440429; real label: 11.0; 1:189.0 2:47.0 3:0.0 4:87.0 
predict label: 7.143646715440429; real label: 9.0; 1:191.0 2:43.0 3:0.0 4:65.0 
predict label: 7.143646715445139; real label: 16.0; 1:167.0 2:61.0 3:29.0 4:68.0 
predict label: 7.143646715440435; real label: 14.0; 1:176.0 2:59.0 3:0.0 4:69.0 
predict label: 7.14364671544043; real label: 11.0; 1:181.0 2:50.0 3:0.0 4:60.0 
predict label: 7.143646715440427; real label: 11.0; 1:185.0 2:46.0 3:0.0 4:43.0 
predict label: 7.14364671544043; real label: 24.0; 1:185.0 2:41.0 3:0.0 4:73.0 
predict label: 7.143646715440445; real label: 18.0; 1:173.0 2:45.0 3:0.0 4:87.0 
predict label: 7.143646715440429; real label: 6.0; 1:197.0 2:43.0 3:0.0 4:76.0 
predict label: 7.143646715440429; real label: 16.0; 1:251.0 2:45.0 3:32700.0 4:118.0 
predict label: 7.143646715440429; real label: 16.0; 1:247.0 2:46.0 3:0.0 4:112.0 
predict label: 7.143646715440429; real label: 31.0; 1:239.0 2:44.0 3:0.0 4:122.0 
predict label: 7.143646715440429; real label: 25.0; 1:252.0 2:40.0 3:0.0 4:117.0 
predict label: 7.143646715440429; real label: 17.0; 1:245.0 2:42.0 3:0.0 4:125.0 
predict label: 7.143646715440429; real label: 12.0; 1:241.0 2:46.0 3:0.0 4:119.0 
predict label: 7.143646715440429; real label: 18.0; 1:234.0 2:49.0 3:0.0 4:116.0 
predict label: 7.143646715440429; real label: 14.0; 1:237.0 2:44.0 3:0.0 4:119.0 
predict label: 7.143646715440429; real label: 18.0; 1:212.0 2:78.0 3:21.0 4:38.0 
predict label: 7.143646715440429; real label: 7.0; 1:215.0 2:66.0 3:0.0 4:74.0 
predict label: 7.143646715440429; real label: 15.0; 1:226.0 2:59.0 3:1.0 4:33.0 
predict label: 7.143646715440429; real label: 14.0; 1:208.0 2:74.0 3:18.0 4:20.0 
predict label: 7.143646715440429; real label: 9.0; 1:246.0 2:42.0 3:0.0 4:82.0 
predict label: 7.143646715440429; real label: 20.0; 1:231.0 2:51.0 3:32700.0 4:27.0 
predict label: 7.143646715440429; real label: 14.0; 1:229.0 2:55.0 3:0.0 4:74.0 
predict label: 7.143646715440429; real label: 12.0; 1:244.0 2:43.0 3:0.0 4:99.0 
predict label: 7.143646715440429; real label: 15.0; 1:234.0 2:43.0 3:0.0 4:121.0 
predict label: 7.143646715440429; real label: 16.0; 1:229.0 2:47.0 3:2.0 4:25.0 
predict label: 7.143646715440429; real label: 24.0; 1:241.0 2:40.0 3:0.0 4:101.0 
predict label: 7.143646715440429; real label: 10.0; 1:241.0 2:41.0 3:0.0 4:117.0 
predict label: 7.143646715440429; real label: 15.0; 1:208.0 2:49.0 3:0.0 4:122.0 
predict label: 7.143646715440429; real label: 12.0; 1:224.0 2:44.0 3:0.0 4:113.0 
predict label: 7.143646715440429; real label: 11.0; 1:228.0 2:32.0 3:0.0 4:101.0 
predict label: 7.143646715440429; real label: 16.0; 1:193.0 2:57.0 3:0.0 4:56.0 
predict label: 7.143646715440429; real label: 9.0; 1:229.0 2:32.0 3:0.0 4:122.0 
predict label: 7.143646715440429; real label: 20.0; 1:231.0 2:32.0 3:0.0 4:114.0 
predict label: 7.143646715440429; real label: 10.0; 1:228.0 2:35.0 3:0.0 4:120.0 
predict label: 7.143646715440429; real label: 26.0; 1:228.0 2:32.0 3:0.0 4:121.0 
predict label: 7.143646715440429; real label: 12.0; 1:214.0 2:38.0 3:0.0 4:124.0 
predict label: 7.143646715440429; real label: 22.0; 1:228.0 2:36.0 3:0.0 4:125.0 
predict label: 7.143646715440429; real label: 11.0; 1:207.0 2:40.0 3:0.0 4:124.0 
predict label: 7.143646715440429; real label: 7.0; 1:243.0 2:56.0 3:0.0 4:69.0 
predict label: 7.143646715440429; real label: 15.0; 1:244.0 2:58.0 3:32700.0 4:96.0 
predict label: 7.143646715440429; real label: 10.0; 1:243.0 2:56.0 3:0.0 4:92.0 
predict label: 7.143646715440429; real label: 9.0; 1:235.0 2:68.0 3:0.0 4:71.0 
predict label: 7.143646715440429; real label: 12.0; 1:232.0 2:66.0 3:0.0 4:106.0 
predict label: 7.143646715440429; real label: 11.0; 1:259.0 2:53.0 3:0.0 4:115.0 
