cluster labelName: 9.573770491803279; count: 122

cluster labelName: 11.35135135135135; count: 111

cluster labelName: 17.333333333333332; count: 105

cluster labelName: 20.65714285714286; count: 70

cluster labelName: 22.50793650793651; count: 63

cluster labelName: 14.719298245614034; count: 57

cluster labelName: 0.09433962264150944; count: 53

cluster labelName: 16.0; count: 46

cluster labelName: 7.705882352941177; count: 34

cluster labelName: 19.0; count: 33

cluster labelName: 13.0; count: 23

cluster labelName: 3.6470588235294117; count: 17

cluster labelName: 2.0; count: 5

cluster labelName: 5.6; count: 5

