predict label: 8.146777922187566; real label: 18.0; 1:169.0 2:50.0 3:0.0 4:91.0 
predict label: 9.588916481325306; real label: 9.0; 1:177.0 2:56.0 3:0.0 4:90.0 
predict label: 8.253960478880165; real label: 24.0; 1:180.0 2:54.0 3:0.0 4:66.0 
predict label: 9.21726557701636; real label: 11.0; 1:189.0 2:47.0 3:0.0 4:87.0 
predict label: 8.086429401951428; real label: 9.0; 1:191.0 2:43.0 3:0.0 4:65.0 
predict label: 7.1745819951511125; real label: 16.0; 1:167.0 2:61.0 3:29.0 4:68.0 
predict label: 5.4225312946560225; real label: 14.0; 1:176.0 2:59.0 3:0.0 4:69.0 
predict label: 4.643644237546774; real label: 11.0; 1:181.0 2:50.0 3:0.0 4:60.0 
predict label: 4.931854466841911; real label: 11.0; 1:185.0 2:46.0 3:0.0 4:43.0 
predict label: 5.884838979459036; real label: 24.0; 1:185.0 2:41.0 3:0.0 4:73.0 
predict label: 3.783977233242733; real label: 18.0; 1:173.0 2:45.0 3:0.0 4:87.0 
predict label: 11.288430459758407; real label: 6.0; 1:197.0 2:43.0 3:0.0 4:76.0 
predict label: 7.174501454044733; real label: 16.0; 1:251.0 2:45.0 3:32700.0 4:118.0 
predict label: 4.210709843306315; real label: 16.0; 1:247.0 2:46.0 3:0.0 4:112.0 
predict label: 6.840239075276505; real label: 31.0; 1:239.0 2:44.0 3:0.0 4:122.0 
predict label: 11.563056555702996; real label: 25.0; 1:252.0 2:40.0 3:0.0 4:117.0 
predict label: 6.859057724105074; real label: 17.0; 1:245.0 2:42.0 3:0.0 4:125.0 
predict label: 6.149729720434296; real label: 12.0; 1:241.0 2:46.0 3:0.0 4:119.0 
predict label: 6.553739183387855; real label: 18.0; 1:234.0 2:49.0 3:0.0 4:116.0 
predict label: 6.642024769530984; real label: 14.0; 1:237.0 2:44.0 3:0.0 4:119.0 
predict label: 6.930866185574126; real label: 18.0; 1:212.0 2:78.0 3:21.0 4:38.0 
predict label: 7.575289417075311; real label: 7.0; 1:215.0 2:66.0 3:0.0 4:74.0 
predict label: 7.308094178713092; real label: 15.0; 1:226.0 2:59.0 3:1.0 4:33.0 
predict label: 6.765309415325854; real label: 14.0; 1:208.0 2:74.0 3:18.0 4:20.0 
predict label: 7.285659638108458; real label: 9.0; 1:246.0 2:42.0 3:0.0 4:82.0 
predict label: 7.187451540714996; real label: 20.0; 1:231.0 2:51.0 3:32700.0 4:27.0 
predict label: 5.337697073896627; real label: 14.0; 1:229.0 2:55.0 3:0.0 4:74.0 
predict label: 5.104781100069266; real label: 12.0; 1:244.0 2:43.0 3:0.0 4:99.0 
predict label: 6.66924578338227; real label: 15.0; 1:234.0 2:43.0 3:0.0 4:121.0 
predict label: 7.174537840597358; real label: 16.0; 1:229.0 2:47.0 3:2.0 4:25.0 
predict label: 6.488239905009644; real label: 24.0; 1:241.0 2:40.0 3:0.0 4:101.0 
predict label: 9.762877858319591; real label: 10.0; 1:241.0 2:41.0 3:0.0 4:117.0 
predict label: 5.739062142549612; real label: 15.0; 1:208.0 2:49.0 3:0.0 4:122.0 
predict label: 7.22626653255578; real label: 12.0; 1:224.0 2:44.0 3:0.0 4:113.0 
predict label: 5.71023062925744; real label: 11.0; 1:228.0 2:32.0 3:0.0 4:101.0 
predict label: 7.299074011509069; real label: 16.0; 1:193.0 2:57.0 3:0.0 4:56.0 
predict label: 6.397797590281552; real label: 9.0; 1:229.0 2:32.0 3:0.0 4:122.0 
predict label: 8.150275013797602; real label: 20.0; 1:231.0 2:32.0 3:0.0 4:114.0 
predict label: 5.614173454617856; real label: 10.0; 1:228.0 2:35.0 3:0.0 4:120.0 
predict label: 6.346897855228606; real label: 26.0; 1:228.0 2:32.0 3:0.0 4:121.0 
predict label: 6.111337771261667; real label: 12.0; 1:214.0 2:38.0 3:0.0 4:124.0 
predict label: 6.668447724143016; real label: 22.0; 1:228.0 2:36.0 3:0.0 4:125.0 
predict label: 7.292372390484494; real label: 11.0; 1:207.0 2:40.0 3:0.0 4:124.0 
predict label: 7.621719563552989; real label: 7.0; 1:243.0 2:56.0 3:0.0 4:69.0 
predict label: 7.202626064748294; real label: 15.0; 1:244.0 2:58.0 3:32700.0 4:96.0 
predict label: 7.758840081545795; real label: 10.0; 1:243.0 2:56.0 3:0.0 4:92.0 
predict label: 6.277537391057633; real label: 9.0; 1:235.0 2:68.0 3:0.0 4:71.0 
predict label: 7.3127632313351505; real label: 12.0; 1:232.0 2:66.0 3:0.0 4:106.0 
predict label: 7.157084531492165; real label: 11.0; 1:259.0 2:53.0 3:0.0 4:115.0 
predict label: 7.174501450675454; real label: 8.0; 1:245.0 2:63.0 3:97.0 4:71.0 
predict label: 7.1774259337263935; real label: 9.0; 1:243.0 2:66.0 3:20.0 4:94.0 
predict label: 7.088269626810165; real label: 12.0; 1:254.0 2:54.0 3:0.0 4:123.0 
predict label: 7.174528752224959; real label: 8.0; 1:248.0 2:57.0 3:32700.0 4:113.0 
predict label: 7.174297249909553; real label: 7.0; 1:238.0 2:62.0 3:40.0 4:62.0 
predict label: 5.119674329232021; real label: 10.0; 1:227.0 2:66.0 3:3.0 4:69.0 
predict label: 7.174501482633547; real label: 13.0; 1:218.0 2:77.0 3:112.0 4:47.0 
predict label: 6.260270158407438; real label: 18.0; 1:220.0 2:67.0 3:0.0 4:61.0 
predict label: 4.799837842035796; real label: 8.0; 1:229.0 2:63.0 3:0.0 4:56.0 
predict label: 7.144068258548827; real label: 8.0; 1:228.0 2:61.0 3:32700.0 4:72.0 
predict label: 6.691657944414245; real label: 18.0; 1:228.0 2:63.0 3:0.0 4:98.0 
predict label: 7.268451483251572; real label: 12.0; 1:199.0 2:80.0 3:89.0 4:29.0 
predict label: 7.704180569971314; real label: 10.0; 1:210.0 2:71.0 3:32700.0 4:20.0 
predict label: 7.213045816416481; real label: 7.0; 1:243.0 2:49.0 3:0.0 4:63.0 
predict label: 7.2068877304592345; real label: 9.0; 1:196.0 2:74.0 3:208.0 4:0.0 
predict label: 7.502468308544198; real label: 15.0; 1:245.0 2:53.0 3:0.0 4:53.0 
predict label: 7.246447032995567; real label: 17.0; 1:249.0 2:51.0 3:0.0 4:63.0 
predict label: 8.69517695780399; real label: 14.0; 1:252.0 2:49.0 3:0.0 4:116.0 
predict label: 5.093970782233955; real label: 17.0; 1:248.0 2:47.0 3:0.0 4:116.0 
predict label: 10.826513132865577; real label: 9.0; 1:263.0 2:47.0 3:0.0 4:99.0 
predict label: 7.3204862820550956; real label: 14.0; 1:252.0 2:54.0 3:10.0 4:79.0 
predict label: 10.969400897775568; real label: 28.0; 1:254.0 2:42.0 3:0.0 4:118.0 
predict label: 9.053263797161527; real label: 10.0; 1:257.0 2:44.0 3:0.0 4:119.0 
predict label: 5.9910445567940425; real label: 21.0; 1:243.0 2:45.0 3:0.0 4:112.0 
predict label: 7.183782185318966; real label: 2.0; 1:124.0 2:74.0 3:0.0 4:39.0 
predict label: 6.82299194646765; real label: 2.0; 1:103.0 2:74.0 3:0.0 4:99.0 
predict label: 7.257986571663948; real label: 2.0; 1:128.0 2:63.0 3:32700.0 4:16.0 
predict label: 8.412840728546094; real label: 2.0; 1:120.0 2:78.0 3:0.0 4:74.0 
predict label: 8.966602993417517; real label: 0.0; 1:109.0 2:76.0 3:0.0 4:93.0 
predict label: 5.219522777487536; real label: 4.0; 1:117.0 2:78.0 3:0.0 4:72.0 
predict label: 7.248956664205709; real label: 1.0; 1:121.0 2:78.0 3:0.0 4:82.0 
predict label: 7.23611903880875; real label: 3.0; 1:107.0 2:79.0 3:0.0 4:72.0 
predict label: 8.124722642075316; real label: 7.0; 1:110.0 2:76.0 3:0.0 4:88.0 
predict label: 12.230333365661187; real label: 2.0; 1:115.0 2:74.0 3:0.0 4:95.0 
predict label: 7.228155083174343; real label: 2.0; 1:116.0 2:78.0 3:0.0 4:78.0 
predict label: 10.190186637185665; real label: 5.0; 1:117.0 2:68.0 3:0.0 4:98.0 
predict label: 8.465322827234097; real label: 1.0; 1:117.0 2:74.0 3:0.0 4:99.0 
predict label: 10.558421609493788; real label: 1.0; 1:121.0 2:74.0 3:0.0 4:76.0 
predict label: 8.611689809769084; real label: 3.0; 1:120.0 2:68.0 3:0.0 4:96.0 
predict label: 7.538415921506553; real label: 5.0; 1:120.0 2:76.0 3:0.0 4:85.0 
predict label: 6.516801904602061; real label: 2.0; 1:121.0 2:78.0 3:0.0 4:64.0 
predict label: 7.74141056360951; real label: 4.0; 1:121.0 2:77.0 3:0.0 4:81.0 
predict label: 6.528519360563138; real label: 3.0; 1:127.0 2:73.0 3:0.0 4:97.0 
predict label: 7.700056903012473; real label: 4.0; 1:101.0 2:79.0 3:0.0 4:88.0 
predict label: 6.997973381742043; real label: 2.0; 1:115.0 2:79.0 3:0.0 4:77.0 
predict label: 7.174501443022948; real label: 2.0; 1:106.0 2:95.0 3:168.0 4:0.0 
predict label: 8.515661583948777; real label: 1.0; 1:102.0 2:77.0 3:1.0 4:57.0 
predict label: 7.171406214449249; real label: 2.0; 1:129.0 2:81.0 3:12.0 4:79.0 
predict label: 7.174501450648939; real label: 3.0; 1:118.0 2:95.0 3:149.0 4:0.0 
predict label: 7.172176173188923; real label: 1.0; 1:128.0 2:78.0 3:32700.0 4:62.0 
predict label: 7.351757874844141; real label: 2.0; 1:140.0 2:78.0 3:7.0 4:63.0 
predict label: 6.605648493865621; real label: 6.0; 1:131.0 2:73.0 3:32700.0 4:72.0 
predict label: 7.261776743991051; real label: 1.0; 1:123.0 2:77.0 3:0.0 4:87.0 
predict label: 6.865806454231618; real label: 4.0; 1:135.0 2:71.0 3:0.0 4:92.0 
predict label: 6.549108185860823; real label: 3.0; 1:98.0 2:72.0 3:0.0 4:94.0 
predict label: 4.0263756068935646; real label: 7.0; 1:102.0 2:69.0 3:0.0 4:93.0 
predict label: 7.109451937487415; real label: 0.0; 1:102.0 2:81.0 3:0.0 4:0.0 
predict label: 7.580994232236245; real label: 5.0; 1:120.0 2:65.0 3:0.0 4:93.0 
predict label: 7.173335490581397; real label: 0.0; 1:85.0 2:89.0 3:0.0 4:0.0 
predict label: 9.691461342285741; real label: 3.0; 1:102.0 2:78.0 3:0.0 4:54.0 
predict label: 7.158862848661227; real label: 4.0; 1:58.0 2:84.0 3:32700.0 4:0.0 
predict label: 7.168140219587198; real label: 5.0; 1:76.0 2:87.0 3:0.0 4:0.0 
predict label: 9.12392557002771; real label: 4.0; 1:96.0 2:76.0 3:0.0 4:87.0 
predict label: 8.831229600605464; real label: 5.0; 1:108.0 2:73.0 3:0.0 4:95.0 
predict label: 6.369970047397977; real label: 5.0; 1:99.0 2:72.0 3:0.0 4:94.0 
predict label: 7.36407624828793; real label: 5.0; 1:97.0 2:72.0 3:0.0 4:93.0 
predict label: 7.576446054784465; real label: 2.0; 1:98.0 2:82.0 3:0.0 4:79.0 
predict label: 10.063855793795092; real label: 2.0; 1:100.0 2:79.0 3:0.0 4:53.0 
predict label: 2.8643417251690986; real label: 6.0; 1:91.0 2:86.0 3:32700.0 4:15.0 
predict label: 6.802513230726007; real label: 3.0; 1:94.0 2:83.0 3:0.0 4:67.0 
predict label: 7.17694500402067; real label: 3.0; 1:84.0 2:83.0 3:0.0 4:26.0 
predict label: 8.167852600197584; real label: 6.0; 1:99.0 2:78.0 3:0.0 4:61.0 
predict label: 7.174501450666233; real label: 5.0; 1:76.0 2:89.0 3:32700.0 4:62.0 
predict label: 7.174755753886251; real label: 3.0; 1:88.0 2:87.0 3:0.0 4:21.0 
predict label: 7.118184688150078; real label: 8.0; 1:63.0 2:92.0 3:32700.0 4:0.0 
predict label: 7.179815938121872; real label: 7.0; 1:46.0 2:93.0 3:11.0 4:0.0 
predict label: 7.470317979859047; real label: 3.0; 1:134.0 2:84.0 3:0.0 4:67.0 
predict label: 6.787191136647061; real label: 7.0; 1:118.0 2:87.0 3:1.0 4:2.0 
predict label: 7.174521310636463; real label: 1.0; 1:126.0 2:82.0 3:32700.0 4:30.0 
predict label: 6.53025579673027; real label: 6.0; 1:142.0 2:82.0 3:0.0 4:64.0 
predict label: 7.174558485822877; real label: 5.0; 1:119.0 2:84.0 3:12.0 4:30.0 
predict label: 7.1746202069063605; real label: 3.0; 1:120.0 2:89.0 3:9.0 4:41.0 
predict label: 7.200949289486229; real label: 14.0; 1:96.0 2:84.0 3:18.0 4:36.0 
predict label: 9.024484970212926; real label: 5.0; 1:101.0 2:85.0 3:0.0 4:53.0 
predict label: 7.174499932338082; real label: 7.0; 1:125.0 2:82.0 3:32.0 4:49.0 
